Function,Expression,Unit
F01:,"UMN(E1)","V"
F02:,"UMN(E2)","V"
F03:,"UMN(E3)","V"
F04:,"UMN(E4)","V"
F05:,"U(E1,ORT)","V"
F06:,"I(E1,ORT)","A"
F07:,"U(E1,ORT)","V"
F08:,"I(E1,ORT)","A"
F09:,"U(E1,ORT)","V"
F10:,"I(E1,ORT)","A"
F11:,"U(E1,ORT)","V"
F12:,"I(E1,ORT)","A"
F13:,"U(E1,ORT)","V"
F14:,"I(E1,ORT)","A"
F15:,"U(E1,ORT)","V"
F16:,"I(E1,ORT)","A"
F17:,"U(E1,ORT)","V"
F18:,"I(E1,ORT)","A"
F19:,"U(E1,ORT)","V"
F20:,"I(E1,ORT)","A"
"Store No.","Date","Time","Millisecond","U-1-Total","I-1-Total","P-1-Total","S-1-Total","Q-1-Total","PF-1-Total","FreqU-1-Total","U-2-Total","I-2-Total","P-2-Total","S-2-Total","Q-2-Total","PF-2-Total","FreqU-2-Total","Q-2-Total","S-2-Total","FreqU-2-Total","FreqI-2-Total","PF-2-Total","U-2-1","I-2-1","P-2-1","U-3-Total","I-3-Total"
13,  2022/05/06,13:09:40,532,  120.313 ,   20.434 ,  2.4570E+03,  2.4572E+03, -0.0338E+03,  0.99991 ,   60.001 ,  120.364 ,   20.307 ,  2.4426E+03,  2.4430E+03, -0.0426E+03,  0.99985 ,   60.004 , -0.0426E+03,  2.4430E+03,   60.004 ,   60.005 ,  0.99985 ,  120.363 ,   20.299 ,  2.4429E+03,    1.826 ,    0.124 
14,  2022/05/06,13:09:41, 32,  120.306 ,   20.455 ,  2.4595E+03,  2.4597E+03, -0.0317E+03,  0.99992 ,   60.000 ,  120.364 ,   20.325 ,  2.4448E+03,  2.4451E+03, -0.0413E+03,  0.99986 ,   60.000 , -0.0413E+03,  2.4451E+03,   60.000 ,   60.004 ,  0.99986 ,  120.363 ,   20.317 ,  2.4451E+03,    1.819 ,    0.120 
15,  2022/05/06,13:09:41,532,  120.312 ,   20.460 ,  2.4601E+03,  2.4604E+03, -0.0332E+03,  0.99991 ,   60.001 ,  120.364 ,   20.322 ,  2.4444E+03,  2.4448E+03, -0.0423E+03,  0.99985 ,   60.001 , -0.0423E+03,  2.4448E+03,   60.001 ,   59.996 ,  0.99985 ,  120.363 ,   20.314 ,  2.4447E+03,    1.810 ,    0.122 
16,  2022/05/06,13:09:42, 33,  120.299 ,   20.450 ,  2.4587E+03,  2.4589E+03, -0.0325E+03,  0.99991 ,   60.002 ,  120.371 ,   20.318 ,  2.4440E+03,  2.4444E+03, -0.0426E+03,  0.99985 ,   60.001 , -0.0426E+03,  2.4444E+03,   60.001 ,   60.001 ,  0.99985 ,  120.370 ,   20.310 ,  2.4443E+03,    1.803 ,    0.139 
17,  2022/05/06,13:09:42,532,  120.306 ,   20.464 ,  2.4606E+03,  2.4608E+03, -0.0331E+03,  0.99991 ,   60.000 ,  120.362 ,   20.338 ,  2.4463E+03,  2.4466E+03, -0.0428E+03,  0.99985 ,   60.001 , -0.0428E+03,  2.4466E+03,   60.001 ,   60.009 ,  0.99985 ,  120.361 ,   20.330 ,  2.4465E+03,    1.794 ,    0.127 
18,  2022/05/06,13:09:43, 32,  120.306 ,   20.451 ,  2.4589E+03,  2.4592E+03, -0.0336E+03,  0.99991 ,   59.999 ,  120.375 ,   20.349 ,  2.4479E+03,  2.4483E+03, -0.0407E+03,  0.99986 ,   59.998 , -0.0407E+03,  2.4483E+03,   59.998 ,   60.007 ,  0.99986 ,  120.374 ,   20.341 ,  2.4482E+03,    1.784 ,    0.126 
19,  2022/05/06,13:09:43,531,  120.306 ,   20.445 ,  2.4582E+03,  2.4585E+03, -0.0326E+03,  0.99991 ,   59.999 ,  120.364 ,   20.329 ,  2.4452E+03,  2.4456E+03, -0.0431E+03,  0.99984 ,   60.001 , -0.0431E+03,  2.4456E+03,   60.001 ,   60.003 ,  0.99984 ,  120.363 ,   20.321 ,  2.4455E+03,    1.778 ,    0.126 
20,  2022/05/06,13:09:44, 35,  120.317 ,   20.440 ,  2.4579E+03,  2.4581E+03, -0.0311E+03,  0.99992 ,   60.000 ,  120.366 ,   20.338 ,  2.4463E+03,  2.4467E+03, -0.0409E+03,  0.99986 ,   59.999 , -0.0409E+03,  2.4467E+03,   59.999 ,   60.005 ,  0.99986 ,  120.364 ,   20.329 ,  2.4466E+03,    1.770 ,    0.115 
21,  2022/05/06,13:09:44,533,  120.312 ,   20.439 ,  2.4576E+03,  2.4578E+03, -0.0315E+03,  0.99992 ,   59.998 ,  120.366 ,   20.337 ,  2.4462E+03,  2.4465E+03, -0.0424E+03,  0.99985 ,   60.000 , -0.0424E+03,  2.4465E+03,   60.000 ,   59.999 ,  0.99985 ,  120.364 ,   20.328 ,  2.4464E+03,    1.761 ,    0.111 
22,  2022/05/06,13:09:45, 32,  120.312 ,   20.457 ,  2.4599E+03,  2.4601E+03, -0.0294E+03,  0.99993 ,   60.002 ,  120.364 ,   20.343 ,  2.4470E+03,  2.4473E+03, -0.0424E+03,  0.99985 ,   60.002 , -0.0424E+03,  2.4473E+03,   60.002 ,   60.000 ,  0.99985 ,  120.363 ,   20.335 ,  2.4472E+03,    1.753 ,    0.124 
23,  2022/05/06,13:09:45,532,  120.311 ,   20.439 ,  2.4576E+03,  2.4578E+03, -0.0341E+03,  0.99990 ,   60.001 ,  120.365 ,   20.326 ,  2.4449E+03,  2.4452E+03, -0.0405E+03,  0.99986 ,   60.002 , -0.0405E+03,  2.4452E+03,   60.002 ,   60.004 ,  0.99986 ,  120.364 ,   20.317 ,  2.4451E+03,    1.746 ,    0.121 
24,  2022/05/06,13:09:46, 32,  120.312 ,   20.446 ,  2.4585E+03,  2.4588E+03, -0.0327E+03,  0.99991 ,   60.001 ,  120.360 ,   20.322 ,  2.4443E+03,  2.4447E+03, -0.0436E+03,  0.99984 ,   60.002 , -0.0436E+03,  2.4447E+03,   60.002 ,   60.005 ,  0.99984 ,  120.359 ,   20.314 ,  2.4446E+03,    1.737 ,    0.116 
25,  2022/05/06,13:09:46,532,  120.308 ,   20.433 ,  2.4568E+03,  2.4570E+03, -0.0314E+03,  0.99992 ,   60.002 ,  120.370 ,   20.338 ,  2.4465E+03,  2.4469E+03, -0.0411E+03,  0.99986 ,   60.002 , -0.0411E+03,  2.4469E+03,   60.002 ,   60.008 ,  0.99986 ,  120.369 ,   20.330 ,  2.4468E+03,    1.732 ,    0.122 
