F18:,"I(E1,ORT)",A,,,
F19:,"U(E1,ORT)",V,,,
F20:,"I(E1,ORT)",A,,,
Store No.,Date,Time,Millisecond,U-1-Total,I-1-Total
1,  2022/02/24,16:00:01,101,276.88,0
2,  2022/02/24,16:00:02,102,276.92,0
3,  2022/02/24,16:00:03,105,276.89,0
4,  2022/02/24,16:00:04,101,276.92,0
